0,1,2,3,4,5,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_correct,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceA_probs,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceB_probs,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceC_probs,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.9733802,1.4310882e-12,2.5026556e-36,0.026619757
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.99660033,3.0548307e-13,9.673512e-37,0.003399695
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.99036634,1.1203908e-11,1.071361e-36,0.009633653
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.9969336,8.5536266e-13,1.8722625e-37,0.0030664008
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.585516,3.7426187e-11,1.0914835e-36,0.41448405
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.997981,2.2978543e-13,6.259518e-38,0.002019014
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.99271095,1.1698885e-12,2.6010386e-37,0.0072890776
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.9663629,1.6339452e-11,1.9638655e-35,0.03363709
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.9877351,8.534109e-12,1.0098261e-35,0.012264914
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.9557135,9.343209e-12,4.727904e-35,0.04428654
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.99847525,1.3567976e-13,3.0946334e-37,0.0015247865
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.9832628,1.5127769e-12,6.483103e-37,0.016737208
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.9971161,5.264771e-14,1.7200782e-37,0.002883959
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.9319905,1.11090095e-11,1.5699578e-36,0.06800946
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.997917,2.3206018e-12,5.240694e-37,0.0020829707
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.93071055,8.805927e-12,4.168484e-37,0.06928941
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.9879695,5.394198e-12,2.7181493e-37,0.012030543
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.9991358,3.2001908e-13,1.3501997e-37,0.0008642928
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.9972154,3.427216e-12,2.7169245e-37,0.0027846089
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.9924521,1.3304989e-12,8.167651e-37,0.0075479234
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.90103567,1.1598052e-11,4.4554558e-36,0.09896427
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.99740905,7.876033e-13,7.7704393e-38,0.0025909794
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.99453604,2.41664e-12,1.1024614e-36,0.0054639652
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.99678063,4.120121e-12,3.3176602e-37,0.0032193488
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.9863631,5.1690093e-12,1.0796082e-36,0.013636835
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.9893372,5.778188e-12,5.9402865e-36,0.010662808
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.9931496,3.0536409e-12,7.4565064e-37,0.00685048
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.9906961,1.1032232e-12,3.8588276e-37,0.00930395
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.9846347,2.8109015e-12,1.2428691e-36,0.015365342
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.96560895,2.446976e-12,2.376741e-37,0.034391105
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.99839276,4.9135893e-14,2.2995463e-37,0.0016072203
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.8492225,1.5841897e-10,2.874706e-35,0.15077755
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,True,0.99140584,9.535799e-13,2.365159e-37,0.008594111
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.99105144,2.5058016e-14,4.157612e-37,0.008948546
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.9995054,3.7354828e-13,9.960919e-37,0.0004945695
