0,1,2,3,4,5,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_correct,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceA_probs,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceB_probs,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceC_probs,/data/data_public/dtw_data/LLM-Explore/LMFlow/output_models/finetuned_MMLU_llama3_1b_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.98439646,6.300713e-20,5.3314e-40,0.015603535
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.9175984,7.016592e-19,1.73771e-40,0.0824015
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.87536144,8.5612687e-19,2.01164e-39,0.12463858
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.91274774,5.1867244e-19,2.63567e-40,0.087252244
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.96826136,1.4983485e-19,1.66305e-40,0.03173859
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.5717666,3.8283583e-19,4.159471e-39,0.4282334
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.9641868,7.230235e-19,4.204787e-39,0.03581319
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.7233095,1.7545563e-17,4.972899e-38,0.27669054
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.95239735,7.766378e-20,1.731384e-39,0.047602657
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.97334224,2.5970335e-20,1.432951e-39,0.026657738
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.6315943,1.7355555e-19,1.009322e-39,0.3684057
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.7772999,1.502821e-19,1.6490688e-38,0.22270015
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.8624676,1.7406943e-19,7.17836e-40,0.13753249
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.992349,2.177977e-20,7.6823e-41,0.007651032
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.7627777,1.3144249e-18,2.90138e-39,0.23722236
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.9814534,6.6870224e-20,4.83978e-40,0.018546565
