0,1,2,3,4,5,model/hub/LLM-Research/Llama-3___2-1B_correct,model/hub/LLM-Research/Llama-3___2-1B_choiceA_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceB_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceC_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceD_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceI don't know_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.2239541,0.53305715,0.23287542,0.009389256,0.00072402175
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.21784197,0.41663367,0.28411946,0.08013958,0.0012653292
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.41497716,0.15029477,0.43150797,0.0011341458,0.0020860133
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.20270486,0.60516495,0.15300965,0.03662802,0.0024925682
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.117399395,0.6199534,0.20443892,0.05766465,0.00054366706
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.20286924,0.60094243,0.16557705,0.029686328,0.0009249059
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.150208,0.6575912,0.18693689,0.0049429312,0.00032096714
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,True,0.15818523,0.50271165,0.32968634,0.009352482,6.425942e-05
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.1586674,0.6946254,0.14112172,0.005345126,0.00024041774
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.17419773,0.6322302,0.181137,0.012423204,1.1825878e-05
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.083642006,0.7513401,0.12458439,0.040131874,0.00030166018
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.6610969,0.21631007,0.09087867,0.015547508,0.01616685
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.15517071,0.5902011,0.21712285,0.03685627,0.0006491855
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.37517565,0.45254824,0.1469209,0.02288586,0.0024693545
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.22404565,0.62835157,0.120863564,0.026550202,0.00018894955
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.14042744,0.66994184,0.15665813,0.032076653,0.00089583715
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.04198588,0.29835108,0.58872455,0.06976594,0.0011725824
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.073028065,0.588032,0.29568106,0.04293099,0.00032778215
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.19928804,0.51691383,0.21049012,0.07217734,0.0011307445
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.26060033,0.5102307,0.20615184,0.020411797,0.0026052257
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.16803409,0.57740384,0.22435495,0.029428966,0.00077815226
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,True,0.23404984,0.48780176,0.25505307,0.022814794,0.00028054294
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.30556664,0.17140734,0.5117278,0.01013422,0.0011639919
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.30242488,0.5225433,0.16314599,0.010429574,0.0014562947
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,True,0.10742005,0.60384005,0.23462695,0.054014195,9.872267e-05
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.12114,0.3644938,0.4982039,0.01601474,0.00014749063
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.15638204,0.57650816,0.25185776,0.015125235,0.0001268328
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.17507924,0.450587,0.35091752,0.02332705,8.9207286e-05
