0,1,2,3,4,5,/data/data_public/dtw_data/modelscop_hub/hub/LLM-Research/Llama-3___2-1B_correct,/data/data_public/dtw_data/modelscop_hub/hub/LLM-Research/Llama-3___2-1B_choiceA_probs,/data/data_public/dtw_data/modelscop_hub/hub/LLM-Research/Llama-3___2-1B_choiceB_probs,/data/data_public/dtw_data/modelscop_hub/hub/LLM-Research/Llama-3___2-1B_choiceC_probs,/data/data_public/dtw_data/modelscop_hub/hub/LLM-Research/Llama-3___2-1B_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.1963311,0.48592415,0.21902318,0.09872148
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.17236587,0.461275,0.27116957,0.09518948
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.16227008,0.46954402,0.2398196,0.12836619
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.14011312,0.45229068,0.2537121,0.15388414
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.14950725,0.41280276,0.28818277,0.14950725
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.15960604,0.47649562,0.23959705,0.124301314
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.14187883,0.40417516,0.32476386,0.12918214
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,True,0.12945399,0.46618173,0.28275353,0.121610776
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.1326886,0.594669,0.17855202,0.0940903
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.15393269,0.45243338,0.25778878,0.13584514
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.1471038,0.43236214,0.2663706,0.15416346
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.1337141,0.4968081,0.2701099,0.09936787
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.1544641,0.50646824,0.2468329,0.092234716
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.15225197,0.47635427,0.24712934,0.12426444
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.1616141,0.33683273,0.29725385,0.20429938
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.15569524,0.4871273,0.23010264,0.12707476
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.18516046,0.43051094,0.25706983,0.12725879
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.19756596,0.4813995,0.21361974,0.10741475
